City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
159,yellowknife,62.456,-114.3525,-13.72,100,100,11.41,CA,1707570568
160,weno,7.4515,151.8468,82.35,83,100,8.05,FM,1707570775
161,badger,64.8,-147.5333,11.35,83,0,3.44,US,1707570572
162,codrington,-38.2667,141.9667,58.66,91,1,5.91,AU,1707570569
163,vangaindrano,-23.35,47.6,80.35,87,47,9.22,MG,1707570775
164,talnakh,69.4865,88.3972,-20.0,81,14,3.2,RU,1707570572
165,havre,49.5833,0.3333,49.19,93,100,10.36,FR,1707570610
166,pisco,-13.7,-76.2167,78.85,78,91,2.3,PE,1707570638
167,mpanda,-6.3655,31.0409,78.3,78,85,2.55,TZ,1707570560
168,jamestown,42.097,-79.2353,53.19,89,100,8.05,US,1707570590
169,olinda,-8.0089,-34.8553,87.53,66,75,13.8,BR,1707570576
170,rabo de peixe,37.8,-25.5833,63.99,99,75,20.71,PT,1707570776
171,kampong masjid tanah,2.35,102.1167,79.88,84,13,6.04,MY,1707570776
172,lamu,-2.2717,40.902,82.85,77,67,18.23,KE,1707570776
173,amursk,50.2261,136.8994,-14.03,100,94,1.32,RU,1707570776
174,kanigiri,15.4,79.5167,79.27,65,2,10.29,IN,1707570776
175,okhotsk,59.3833,143.3,-15.39,91,98,5.66,RU,1707570776
176,haiku-pauwela,20.9219,-156.3051,69.04,81,20,1.99,US,1707570642
177,kendari,-3.945,122.4989,76.48,92,100,3.65,ID,1707570776
178,sigli,5.3848,95.9609,81.84,78,50,9.53,ID,1707570776
179,aasiaat,68.7098,-52.8699,2.52,90,100,15.73,GL,1707570580
180,la gomera,14.0833,-91.05,70.84,76,72,3.44,GT,1707570777
181,aginskoye,51.1,114.53,11.97,87,11,6.55,RU,1707570777
182,lingen,52.5167,7.3167,56.95,76,100,6.31,DE,1707570777
183,surab,28.4914,66.2585,53.92,35,37,5.35,PK,1707570777
184,geraldton,-28.7667,114.6,79.21,57,0,14.97,AU,1707570777
185,liberal,37.0431,-100.921,30.34,69,40,6.91,US,1707570777
186,baley,51.6,116.6333,-4.16,99,23,4.07,RU,1707570777
187,ambositra,-20.5167,47.25,73.31,79,100,7.07,MG,1707570777
188,porto novo,6.4965,2.6036,90.18,52,33,11.41,BJ,1707570778
189,freetown,8.484,-13.2299,84.42,67,44,11.52,SL,1707570778
190,acara,-1.9608,-48.1967,78.06,92,100,4.56,BR,1707570778
191,murun-kuren,49.6342,100.1625,11.21,71,23,2.89,MN,1707570778
192,remire-montjoly,4.9167,-52.2667,84.24,74,75,13.8,GF,1707570778
193,runing,33.0011,114.3542,43.21,57,0,7.85,CN,1707570778
194,lai chau,22.3997,103.4517,51.37,82,100,2.8,VN,1707570778
195,piste,20.7,-88.5833,65.98,93,4,3.85,MX,1707570778
196,anar darah,32.7587,61.654,64.2,18,8,6.4,AF,1707570778
197,hermanus,-34.4187,19.2345,74.8,55,5,15.19,ZA,1707570575
198,martuk,50.7475,56.5056,1.08,98,6,4.09,KZ,1707570778
199,newport,51.5877,-2.9984,52.83,83,100,11.18,GB,1707570778
200,rioblanco,3.5308,-75.6806,67.93,75,100,0.92,CO,1707570779
201,spirit lake,43.4222,-95.1022,30.07,76,7,8.99,US,1707570779
202,juneau,58.3019,-134.4197,37.4,87,100,8.05,US,1707570285
203,tolu viejo,9.4508,-75.4386,80.74,66,1,6.64,CO,1707570779
204,kruisfontein,-34.0033,24.7314,72.18,48,0,16.11,ZA,1707570649
205,utrik,11.2278,169.8474,78.84,76,100,23.11,MH,1707570593
206,achinsk,56.2694,90.4993,33.71,80,100,15.19,RU,1707570638
207,andovoranto,-18.95,49.1,80.17,89,99,4.92,MG,1707570779
208,castillos,-34.1667,-53.8333,78.22,76,100,11.59,UY,1707570779
209,san dionisio ocotepec,16.8,-96.4,51.78,93,26,4.72,MX,1707570779
210,queenstown,-31.8976,26.8753,78.15,25,1,13.47,ZA,1707570637
211,extrema,-22.8547,-46.3183,79.47,55,100,4.12,BR,1707570779
212,fernandopolis,-20.2839,-50.2464,83.17,52,62,12.57,BR,1707570760
213,vorgashor,67.5833,63.95,-15.79,95,94,11.63,RU,1707570581
214,valparaiso,-33.0393,-71.6273,72.14,62,0,4.61,CL,1707570637
215,howard springs,-12.497,131.047,84.11,95,99,3.6,AU,1707570641
216,brindisi,40.5833,17.6667,61.16,71,100,30.58,IT,1707570683
217,isafjordur,66.0755,-23.124,28.44,54,20,5.75,IS,1707570577
218,yelizovo,53.1873,158.3805,3.11,59,36,4.0,RU,1707570780
219,les avirons,-21.2418,55.3394,77.09,78,75,2.3,RE,1707570780
220,taltal,-25.4,-70.4833,71.98,79,46,4.12,CL,1707570780
221,vilyuchinsk,52.9306,158.4028,3.25,80,22,11.05,RU,1707570573
222,saint-paul,-21.0096,55.2707,80.71,78,100,1.28,RE,1707570780
223,olyokminsk,60.3736,120.4264,-5.98,100,100,2.37,RU,1707570609
224,totness,5.8833,-56.3167,83.37,70,80,12.08,SR,1707570780
225,ueda,36.4,138.2667,35.01,92,92,2.64,JP,1707570781
226,bailen,38.0964,-3.7779,56.14,72,100,19.71,ES,1707570781
227,guerrero negro,27.9769,-114.0611,59.09,67,100,12.75,MX,1707570781
228,santander,43.4647,-3.8044,55.6,55,20,23.02,ES,1707570501
229,karratha,-20.7377,116.8463,87.48,57,0,13.4,AU,1707570614
230,matlang,10.8902,124.4554,79.77,71,4,19.28,PH,1707570781
231,rocky mountain house,52.3668,-114.9188,10.62,87,96,3.67,CA,1707570781
232,yigo village,13.5361,144.8886,78.12,76,20,19.57,GU,1707570781
233,labrador city,52.9463,-66.9114,25.9,96,100,6.89,CA,1707570610
234,fort-de-france,14.6089,-61.0733,84.15,65,20,14.97,MQ,1707570782
235,mount isa,-20.7333,139.5,78.57,73,89,0.0,AU,1707570403
236,east london,-33.0153,27.9116,75.92,53,7,19.28,ZA,1707570580
237,impfondo,1.6381,18.0667,98.91,24,100,3.71,CG,1707570782
238,rongelap,11.1635,166.8941,79.09,78,100,21.9,MH,1707570782
239,tapejara,-28.0681,-52.0139,73.29,86,99,10.56,BR,1707570782
240,bandiagara,14.3501,-3.6104,93.67,5,0,7.74,ML,1707570782
241,novo aripuana,-5.1206,-60.3797,86.23,65,100,4.16,BR,1707570486
242,anupgarh,29.1911,73.2086,64.8,18,0,5.23,IN,1707570783
243,al 'amarah,31.8406,47.1396,74.03,18,100,6.71,IQ,1707570783
244,al artawiyah,26.5053,45.3444,69.3,35,76,12.55,SA,1707570783
245,kargasok,59.0556,80.8572,10.83,87,100,14.36,RU,1707570783
246,hamilton,39.1834,-84.5333,53.44,95,75,4.0,US,1707570783
247,kabinda,-6.1333,24.4833,76.59,82,91,5.99,CD,1707570784
248,minas de marcona,-15.2119,-75.1103,68.72,76,53,9.66,PE,1707570573
249,lerwick,60.1545,-1.1494,35.6,86,100,26.78,GB,1707570598
250,bandarbeyla,9.4942,50.8122,80.69,68,100,17.87,SO,1707570784
251,arauca,7.0847,-70.7591,79.11,79,19,5.61,CO,1707570784
252,sechura,-5.5569,-80.8222,79.65,74,47,8.97,PE,1707570784
253,bani walid,31.7566,13.9942,69.87,16,100,16.15,LY,1707570784
254,sao jose da coroa grande,-8.8978,-35.1478,89.06,53,99,11.05,BR,1707570588
255,portland,45.5234,-122.6762,44.83,93,100,8.05,US,1707570350
256,puerto aysen,-45.4,-72.7,59.36,90,62,2.26,CL,1707570785
257,mandera,3.9366,41.867,99.95,21,0,14.07,KE,1707570785
258,camalu,30.85,-116.0667,45.66,74,24,5.75,MX,1707570785
259,enewetak,11.3474,162.3373,79.39,72,100,23.82,MH,1707570637
260,buala,-8.145,159.5921,79.47,85,100,8.79,SB,1707570589
261,buriti dos lopes,-3.175,-41.8669,76.75,92,100,6.49,BR,1707570785
262,mejit,10.2753,170.8646,79.56,75,100,22.12,MH,1707570785
263,namtsy,62.7161,129.6658,-43.82,100,79,2.46,RU,1707570605
264,ceeldheer,3.8488,47.1806,84.7,56,100,23.04,SO,1707570786
265,dakhla,23.6848,-15.958,69.31,84,74,7.96,EH,1707570607
266,nadym,65.5333,72.5167,0.68,94,100,18.43,RU,1707570786
267,ulladulla,-35.35,150.4667,65.17,74,98,6.24,AU,1707570574
268,gedo,9.0167,37.45,67.19,51,100,3.65,ET,1707570786
269,general ramirez,-32.176,-60.2008,81.27,66,23,3.91,AR,1707570786
270,dryden,49.7833,-92.7503,10.69,79,100,6.91,CA,1707570786
271,luganville,-15.5333,167.1667,79.34,83,46,10.83,VU,1707570577
272,troitsko-pechorsk,62.7084,56.1964,4.69,94,100,7.0,RU,1707570787
273,mayqayyng,51.4625,75.7986,22.48,67,100,19.91,KZ,1707570787
274,talcahuano,-36.7167,-73.1167,57.96,84,4,4.76,CL,1707570787
275,qui nhon,13.7667,109.2333,69.87,88,100,20.42,VN,1707570787
276,whakatane,-37.9585,176.9854,63.52,99,100,9.8,NZ,1707570533
277,bontang,0.1333,117.5,79.72,86,100,5.68,ID,1707570788
278,gornozavodsk,58.3758,58.3211,4.59,96,100,8.32,RU,1707570788
279,bansud,12.865,121.4564,75.16,87,37,11.16,PH,1707570788
280,uturoa,-16.7333,-151.4333,81.52,89,100,30.74,PF,1707570572
281,san patricio,28.017,-97.5169,69.89,93,100,5.17,US,1707570592
282,severo-yeniseyskiy,60.3725,93.0408,20.57,83,100,18.01,RU,1707570599
283,jackson,42.4165,-122.8345,40.87,88,100,0.0,US,1707570661
284,jining,35.405,116.5814,40.15,52,4,5.61,CN,1707570724
285,upper dir,35.2058,71.8756,46.56,44,0,1.36,PK,1707570665
286,cabo san lucas,22.8909,-109.9124,62.51,63,100,18.41,MX,1707570540
287,eraan,9.0629,117.7016,81.57,79,15,26.17,PH,1707570789
288,arkhangel'sk,64.5401,40.5433,8.13,84,40,2.24,RU,1707570790
289,dwarka,22.2394,68.9678,73.94,48,15,12.59,IN,1707570790
